"c";"name";"l";"lat";"lon";"X";"Y";"s"
"534";"Lardy_2";"16384";48.52225143177727;2.2874536873304763;"596375";"2391500";"3446"
"535";"IFFENDIC_1";"10302";48.109820391790365;-2.0345568944926615;"274620";"2354680";"780"
"536";"IFFENDIC_1";"10302";48.109820391790365;-2.0345568944926615;"274620";"2354680";"780"
"541";"CAMARET_CHATEAU_EAU_1";"9728";48.27295110148591;-4.585279508674302;"86742";"2386389";"11"
"542";"Lardy_2";"16384";48.52225143177727;2.2874536873304763;"596375";"2391500";"3446"
"556";"IFFENDIC_1";"10302";48.109820391790365;-2.0345568944926615;"274620";"2354680";"780"
"558";"ETABLES_CHAPERON_1";"10241";48.61741047800689;-2.833021943887743;"218973";"2414623";"489"
"559";"Osm_biorad_marnes_la_coquette";"25856";48.83779458186322;2.1796590513787724;"588480";"2426615";"3044"
"560";"ETABLES_CHAPERON_1";"10241";48.61741047800689;-2.833021943887743;"218973";"2414623";"489"
"571";"ST_NAZAIRE_TREBALE_1";"28672";47.26419226556554;-2.2483591504572606;"253240";"2261725";"648"
"573";"Varsberg";"6153";49.164302238072615;6.663532848132149;"915650";"2471625";"4915"
"574";"ST_NAZAIRE_TREBALE_1";"28672";47.26419226556554;-2.2483591504572606;"253240";"2261725";"648"
"581";"Varsberg";"6153";49.164302238072615;6.663532848132149;"915650";"2471625";"4915"
"582";"ST_NAZAIRE_TREBALE_1";"28672";47.26419226556554;-2.2483591504572606;"253240";"2261725";"648"
"589";"PONT_L_EVEQUE_VILLE_NEW_1";"22785";49.29005022149094;0.20190049032659027;"444605";"2479045";"2215"
"591";"PONT_L_EVEQUE_VILLE_NEW_1";"22785";49.29005022149094;0.20190049032659027;"444605";"2479045";"2215"
"592";"Bierville_1";"16385";48.387259578102864;2.1488902339505636;"586100";"2376500";"2979"
"593";"Limars_1";"26625";48.61545520019371;3.2978649927056787;"670910";"2402300";"4683"
"594";"La_Planchette_1";"16641";48.77741842924891;3.0523178083208653;"652635";"2420125";"4644"
"595";"Boucardiere_1";"26625";48.74305489053532;2.8790382370015353;"639920";"2416200";"4574"
"597";"Montevrain_B1";"16640";48.875416449329215;2.752616079296418;"630540";"2430870";"4475"
"598";"Pres_Des_Noues_1";"16640";48.68168719002511;2.8101191158276344;"634890";"2409340";"4531"
"599";"JARGEAU_1";"776";47.85682199071374;2.1339289392117577;"584839";"2317513";"2949"
"600";"PONT_L_EVEQUE_VILLE_NEW_1";"22785";49.29005022149094;0.20190049032659027;"444605";"2479045";"2215"
"613";"ST_GEREON_TDF_1";"6404";47.36535362175926;-1.2143800581891704;"331888";"2268911";"1438"
"614";"ST_GEREON_TDF_1";"6404";47.36535362175926;-1.2143800581891704;"331888";"2268911";"1438"
"615";"ST_GEREON_TDF_1";"6404";47.36535362175926;-1.2143800581891704;"331888";"2268911";"1438"
"616";"PRE_EN_PAIL_LE_SOUPRAT_1";"17409";48.46054689475166;-0.15667949906352463;"415581";"2387562";"2017"
"617";"LE_PATIS_A11_1";"6404";47.42259407064817;-1.0466946179928145;"344815";"2274710";"1522"
"618";"Maisons_Laffitte_Mesnil_1";"14337";48.94575419809743;2.130295364397512;"584886";"2438636";"2952"
"619";"Maisons_Laffitte_Mesnil_1";"14337";48.94575419809743;2.130295364397512;"584886";"2438636";"2952"
"623";"LE_PATIS_A11_1";"6404";47.42259407064817;-1.0466946179928145;"344815";"2274710";"1522"
"625";"INGRE_CMD_1";"776";47.90628294571333;1.8501032042696208;"563633";"2323106";"2583"
"626";"INGRE_CMD_1";"776";47.90628294571333;1.8501032042696208;"563633";"2323106";"2583"
"627";"INGRE_CMD_1";"776";47.90628294571333;1.8501032042696208;"563633";"2323106";"2583"
"655";"NOGENT_SUR_VERNISSON_1";"29697";47.84258756892075;2.7457080674735;"630630";"2315990";"4477"
"661";"Charmont_N183";"9217";49.13981086638067;1.7851816691600695;"559743";"2460353";"2551"
"662";"Charmont_N183";"9217";49.13981086638067;1.7851816691600695;"559743";"2460353";"2551"
"666";"PAIMPONT_TDF_1";"10301";48.02555152719992;-2.2163856002384397;"260557";"2346093";"700"
"667";"PAIMPONT_TDF_1";"10301";48.02555152719992;-2.2163856002384397;"260557";"2346093";"700"
"669";"NOGENT_SUR_VERNISSON_1";"29697";47.84258756892075;2.7457080674735;"630630";"2315990";"4477"
"675";"Charmont_N183";"9217";49.13981086638067;1.7851816691600695;"559743";"2460353";"2551"
"676";"MONTENEUF_1";"9729";47.879890589447676;-2.208808021615498;"260185";"2329890";"696"
"677";"ST_SYLVAIN_1";"17664";47.51246868437527;-0.4691969949797142;"388710";"2282980";"1819"
"678";"ST_SYLVAIN_1";"17664";47.51246868437527;-0.4691969949797142;"388710";"2282980";"1819"
"681";"CARO_1";"9729";47.84816116506886;-2.2913161085612024;"253816";"2326728";"652"
"682";"MALESTROIT_TDF_1";"9729";47.80366040512318;-2.3959560218644342;"245700";"2322255";"611"
"684";"NOGENT_VAUBRUN_1";"777";48.64713717700377;1.5196581667997098;"539785";"2405705";"2441"
"685";"Longjumeau_B1";"14592";48.68930968962279;2.296593612003218;"597060";"2410084";"3475"
"686";"Longjumeau_B2";"14592";48.68930968962279;2.296593612003218;"597060";"2410084";"3475"
"687";"Longjumeau_B3";"14592";48.68930968962279;2.296593612003218;"597060";"2410084";"3475"
"688";"VIERZON_GRELET_2";"29696";47.23025420598432;2.0580482622268845;"578913";"2247870";"2829"
"689";"Mitry_Mory_1";"16640";48.95673241300762;2.608778605266065;"619952";"2439872";"4315"
"690";"Mitry_Mory_1";"16640";48.95673241300762;2.608778605266065;"619952";"2439872";"4315"
"692";"Poissy_1";"14337";48.950654986979636;2.0607822404988694;"579793";"2439197";"2849"
"694";"DOUVILLE_EN_AUGE_1";"22785";49.257046949035434;-0.004008747966734027;"429510";"2475800";"2093"
"695";"ST_ANDRE_D_HEBERTOT_1";"22785";49.31159399035554;0.30141599372323014;"451910";"2481250";"2251"
"696";"LE_PATIS_A11_1";"6404";47.42259407064817;-1.0466946179928145;"344815";"2274710";"1522"
"698";"La_Couperie_1";"14336";48.85722689880184;1.8422228802506317;"563710";"2428880";"2588"
"699";"La_Falaise_1";"14336";48.94427074078544;1.8319766490233127;"563020";"2438570";"2577"
"707";"Mareil_Sur_Mauldre_1";"14336";48.88211138962876;1.8616082124955726;"565150";"2431640";"2608"
"708";"VIERZON_GRELET_2";"29696";47.23025420598432;2.0580482622268845;"578913";"2247870";"2829"
"710";"VIERZON_GRELET_2";"29696";47.23025420598432;2.0580482622268845;"578913";"2247870";"2829"
"713";"Elancourt_1";"14336";48.781732232672276;1.947014839239197;"571362";"2420437";"2722"
"714";"La_Clairiere_1";"14336";48.64303979576644;1.8435804775659328;"563660";"2405050";"2585"
"715";"Rochefort_En_Yvelines_1";"16384";48.60247590694904;2.0047814915775994;"575525";"2400475";"2770"
"716";"Vieille_Eglise_1";"14336";48.66807791217376;1.8780848724191497;"566220";"2407820";"2624"
"717";"Vieilles_Bergeries_1";"14336";48.664367003407584;1.8072817991416974;"561000";"2407440";"2557"
"726";"St_Michel_Sur_Orge_Heronniere_1";"16384";48.62201644683169;2.3238992667617278;"599070";"2402597";"3550"
"736";"LE_PATIS_A11_1";"6404";47.42259407064817;-1.0466946179928145;"344815";"2274710";"1522"
"737";"St_Michel_Sur_Orge_Heronniere_1";"16384";48.62201644683169;2.3238992667617278;"599070";"2402597";"3550"
"738";"ST_HILAIRE_GROLLIER_1";"28673";46.744768856442356;-1.9551670285418377;"272240";"2202820";"767"
"740";"BONCHAMP_LES_LAVAL_1";"17409";48.067820492112176;-0.6962252663406668;"374004";"2345319";"1709"
"744";"ST_HILAIRE_GROLLIER_1";"28673";46.744768856442356;-1.9551670285418377;"272240";"2202820";"767"
"748";"Bray_sur_Seine_1";"26625";48.39827974177622;3.2364286332166103;"666655";"2378090";"4678"
"749";"Portonville_1";"26624";48.23031602118715;2.700410107142872;"627040";"2359090";"4427"
"754";"SOLTERRE_N7_1";"29697";47.905486638906844;2.7380621600517734;"630022";"2322981";"4466"
"756";"SOLTERRE_N7_1";"29697";47.905486638906844;2.7380621600517734;"630022";"2322981";"4466"
"758";"GENNES_1";"17664";47.330186537009205;-0.23800476888080543;"405450";"2262130";"1955"
"759";"MARTIGNE_SUR_MAYENNE_1";"17409";48.20437959808165;-0.6648611312006917;"376920";"2360405";"1724"
"760";"St_Michel_Sur_Orge_Heronniere_1";"16384";48.62201644683169;2.3238992667617278;"599070";"2402597";"3550"
"762";"Livry_L_Abbaye_Bis_1";"785";48.92292524260628;2.5179522586225263;"613305";"2436091";"4130"
"764";"Les_Arcades_Indoor_1";"786";48.83930648703947;2.546117625401065;"615395";"2426792";"4207"
"766";"Saacy_Sur_Marne_Bis_1";"16641";48.975296728605464;3.2058801493364877;"663683";"2442255";"4672"
"770";"LE_MONT_ST_MICHEL_1";"18436";48.63524007906414;-1.5104729103110015;"316459";"2411011";"1315"
"772";"Saacy_Sur_Marne_Bis_1";"16641";48.975296728605464;3.2058801493364877;"663683";"2442255";"4672"
"776";"Livry_L_Abbaye_Bis_1";"785";48.92292524260628;2.5179522586225263;"613305";"2436091";"4130"
"777";"SOLTERRE_N7_1";"29697";47.905486638906844;2.7380621600517734;"630022";"2322981";"4466"
"779";"LA_GRANDE_FORET_TGV_1";"17412";47.873647565239004;-0.020677886724645766;"423680";"2322010";"2066"
"780";"NANTES_PARC_EXPO_IN_1";"6404";47.25849156009456;-1.5325956935622698;"307295";"2258180";"1182"
"781";"Livry_L_Abbaye_Bis_1";"785";48.92292524260628;2.5179522586225263;"613305";"2436091";"4130"
"782";"Livry_L_Abbaye_Bis_2";"785";48.92292524260628;2.5179522586225263;"613305";"2436091";"4130"
"783";"Livry_L_Abbaye_Bis_2";"785";48.92292524260628;2.5179522586225263;"613305";"2436091";"4130"
"784";"Saacy_Sur_Marne_Bis_1";"16641";48.975296728605464;3.2058801493364877;"663683";"2442255";"4672"
"785";"Livry_L_Abbaye_Bis_2";"785";48.92292524260628;2.5179522586225263;"613305";"2436091";"4130"
"792";"NOGENT_VAUBRUN_1";"777";48.64713717700377;1.5196581667997098;"539785";"2405705";"2441"
"796";"ST_JEAN_RUELLE_1";"776";47.907583400565414;1.885028484579014;"566245";"2323235";"2625"
"800";"La_Poste_DISF_Indoor_1";"8960";48.810006817166155;2.3913732032229125;"604032";"2423513";"3766"
"826";"LE_POISLAY_TGV_BIS_1";"777";48.075132596333866;1.0849013924609026;"506725";"2342513";"2357"
"828";"LE_POISLAY_TGV_BIS_1";"777";48.075132596333866;1.0849013924609026;"506725";"2342513";"2357"
"835";"RENNES_PRISON_1";"10300";48.098360616329636;-1.680872290666411;"300859";"2352002";"1023"
"836";"Maisons_Laffitte_Mesnil_1";"14337";48.94575419809743;2.130295364397512;"584886";"2438636";"2952"
"838";"LE_POISLAY_TGV_BIS_1";"777";48.075132596333866;1.0849013924609026;"506725";"2342513";"2357"
"841";"LE_FAOUET_1";"9729";48.04440903566102;-3.498371933397482;"165290";"2354500";"243"
"843";"LE_FAOUET_1";"9729";48.04440903566102;-3.498371933397482;"165290";"2354500";"243"
"850";"MONTARGIS_SUD_1";"29697";47.94451008456198;2.777455888878315;"632943";"2327336";"4514"
"852";"NOGENT_VAUBRUN_1";"777";48.64713717700377;1.5196581667997098;"539785";"2405705";"2441"
"853";"Osm_Suez_Energy_Services_Indoor";"24832";48.88947056236145;2.236197557340254;"592640";"2432358";"3228"
"856";"MONTARGIS_SUD_1";"29697";47.94451008456198;2.777455888878315;"632943";"2327336";"4514"
"858";"MONTARGIS_SUD_1";"29697";47.94451008456198;2.777455888878315;"632943";"2327336";"4514"
"860";"SAINT_REVEREND_1";"5121";46.693888852547985;-1.8116859396216618;"282889";"2196584";"845"
"869";"CARQUEFOU_1";"6404";47.26194847372346;-1.500829510778048;"309715";"2258446";"1224"
"870";"CARQUEFOU_1";"6404";47.26194847372346;-1.500829510778048;"309715";"2258446";"1224"
"871";"CARQUEFOU_1";"6404";47.26194847372346;-1.500829510778048;"309715";"2258446";"1224"
"873";"SARGE_LES_LE_MANS_1";"17408";48.01938030992776;0.21846132808390678;"442000";"2337700";"2198"
"874";"SARGE_LES_LE_MANS_1";"17408";48.01938030992776;0.21846132808390678;"442000";"2337700";"2198"
"875";"SARGE_LES_LE_MANS_1";"17408";48.01938030992776;0.21846132808390678;"442000";"2337700";"2198"
"879";"SARZEAU_1";"9732";47.52017433466228;-2.784214842116356;"214620";"2292625";"452"
"880";"SARZEAU_1";"9732";47.52017433466228;-2.784214842116356;"214620";"2292625";"452"
"881";"SARZEAU_1";"9732";47.52017433466228;-2.784214842116356;"214620";"2292625";"452"
"884";"SAINT_REVEREND_1";"5121";46.693888852547985;-1.8116859396216618;"282889";"2196584";"845"
"888";"LANDERNEAU_1";"9731";48.44414454873228;-4.235688079009599;"114193";"2403138";"106"
"889";"ST_JEAN_RUELLE_2";"776";47.907583400565414;1.885028484579014;"566245";"2323235";"2625"
"890";"ST_JEAN_RUELLE_3";"776";47.907583400565414;1.885028484579014;"566245";"2323235";"2625"
"891";"Buc_INRA_B1";"14338";48.77549972193382;2.0941070896558647;"582175";"2419700";"2892"
"893";"UZAY_LE_VENON_1";"29696";46.84813864299192;2.421896144843529;"606510";"2205360";"3854"
"894";"ORCENAIS_1";"29696";46.71989050863449;2.4249656446529273;"606760";"2191105";"3870"
"895";"BOUZAIS_1";"29696";46.697716136019075;2.4612159985378126;"609535";"2188644";"3986"
"896";"Le_Val_St_Germain_1";"16384";48.57496556292282;2.055689063238344;"579270";"2397400";"2835"
"900";"Angerville_1";"16385";48.3172553115393;2.0022094853894665;"575200";"2368750";"2765"
"904";"Dannemois_1";"16385";48.448113442491135;2.467053628247337;"609660";"2383260";"3991"
"908";"Villeneuve_St_Georges_Republique";"8960";48.72727001445346;2.446189046640011;"608073";"2414312";"3927"
"909";"St_Georges_1";"26624";48.4008167215171;2.49537046772445;"611766";"2378003";"4073"
"911";"Beauvais_1";"16385";48.49556411718592;2.481509068874705;"610720";"2388540";"4035"
"912";"Villeneuve_St_Georges_Republique";"8960";48.72727001445346;2.446189046640011;"608073";"2414312";"3927"
"914";"La_Verrerie_1";"26624";48.25198349607312;2.7676748606261135;"632025";"2361525";"4497"
"915";"Jouarre_1";"16641";48.8850444733959;3.0896445870871823;"655265";"2432125";"4651"
"916";"Longueville_1";"26625";48.520462788152926;3.259847746434677;"668230";"2391700";"4681"
"917";"SAINT_REVEREND_1";"5121";46.693888852547985;-1.8116859396216618;"282889";"2196584";"845"
"920";"Les_Ormes_Voulzie_1";"26625";48.4723369236427;3.228170607752982;"665950";"2386320";"4677"
"922";"ST_AGATHON_1";"10244";48.5652505497988;-3.119517361825044;"197487";"2410262";"391"
"923";"ST_AGATHON_1";"10244";48.5652505497988;-3.119517361825044;"197487";"2410262";"391"
"924";"Fontaine_Le_Port_TDF_I_1";"26624";48.48555281210803;2.7658257650337212;"631746";"2387503";"4491"
"926";"Villeneuve_St_Georges_Republique";"8960";48.72727001445346;2.446189046640011;"608073";"2414312";"3927"
"927";"PetiteRosselleCiteCharles900";"6153";49.21808390195058;6.863651254793727;"929888";"2478423";"4964"
"929";"ST_AGATHON_1";"10244";48.5652505497988;-3.119517361825044;"197487";"2410262";"391"
"932";"Centre_Thomery_1";"26624";48.39353362817615;2.7952983924566754;"633985";"2377280";"4522"
"933";"Champigny_B1";"8704";48.824520614887724;2.500935266269835;"612080";"2425139";"4084"
"934";"Champigny_B2";"8704";48.824520614887724;2.500935266269835;"612080";"2425139";"4084"
"935";"Champigny_B3";"8704";48.824520614887724;2.500935266269835;"612080";"2425139";"4084"
"937";"Gonesse_1";"9216";48.98591598624028;2.439865624094554;"607570";"2443090";"3901"
"938";"Gonesse_1";"9216";48.98591598624028;2.439865624094554;"607570";"2443090";"3901"
"939";"Gonesse_2";"9216";48.98591598624028;2.439865624094554;"607570";"2443090";"3901"
"940";"Briis_Sous_Forge_1";"16384";48.63042551720378;2.1435360442419897;"585770";"2403550";"2973"
"946";"ST_GILLES_PORT_1";"28673";46.69611395059667;-1.9422263364211299;"272933";"2197366";"772"
"947";"Marly_Le_Roi";"14337";48.86525122270363;2.0897221357212477;"581884";"2429687";"2885"
"949";"St_Germain_En_Laye_B1";"14337";48.89277490077088;2.0709725372484282;"580518";"2432754";"2858"
"950";"St_Germain_En_Laye_B2";"14337";48.89277490077088;2.0709725372484282;"580518";"2432754";"2858"
"951";"St_Germain_En_Laye_B3";"14337";48.89277490077088;2.0709725372484282;"580518";"2432754";"2858"
"952";"ST_GILLES_PORT_1";"28673";46.69611395059667;-1.9422263364211299;"272933";"2197366";"772"
"960";"DOZULE_1";"22784";49.22100970535999;-0.049301001130024474;"426090";"2471890";"2076"
"963";"RENNES_PRISON_1";"10300";48.098360616329636;-1.680872290666411;"300859";"2352002";"1023"
"965";"Marly_Le_Roi";"14337";48.86525122270363;2.0897221357212477;"581884";"2429687";"2885"
"973";"LANNION_2";"10244";48.757286826500454;-3.455185205822574;"174340";"2433340";"300"
"976";"ST_GILLES_PORT_1";"28673";46.69611395059667;-1.9422263364211299;"272933";"2197366";"772"
"979";"LAMBALLE_1";"10241";48.45161818831204;-2.5147919986551126;"241260";"2394720";"586"
"981";"DOUVRES_DELIVRANDE_1";"22785";49.28931668618586;-0.37162943581000574;"402865";"2480250";"1919"
"989";"ST_HILAIRE_GROLLIER_1";"28673";46.744768856442356;-1.9551670285418377;"272240";"2202820";"767"
"990";"Dambach900";"13056";48.32416107383231;7.43645232775888;"978020";"2381730";"5058"
"993";"ST_JEAN_MONT_MASSON_1";"28673";46.7915431264911;-2.0260055332788696;"267124";"2208309";"741"
"994";"ST_JEAN_MONT_MASSON_1";"28673";46.7915431264911;-2.0260055332788696;"267124";"2208309";"741"
"995";"ST_JEAN_MONT_MASSON_1";"28673";46.7915431264911;-2.0260055332788696;"267124";"2208309";"741"
"1002";"OSM_Inria_Rocquencourt_Ind_1";"14338";48.83769081187522;2.100677708912107;"582679";"2426618";"2902"
"1007";"RENNES_PRISON_1";"10300";48.098360616329636;-1.680872290666411;"300859";"2352002";"1023"
"1008";"VIMOUTIERS_1";"18437";48.92531199246534;0.1804623492812648;"441931";"2438511";"2197"
"1013";"Magny_Les_Hameaux_1";"14336";48.72671777348441;2.0841455845613246;"581425";"2414275";"2874"
